title,description,skill,link,img url
Yazýlým Uzmaný,Minerva Yazýlým,"javascript, css, html, oracle, sql",https://www.kariyer.net//is-ilani/minerva-yazilim-yazilim-uzmani-3405733,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/2417_192678.jpg
Dms Software Developer,Arvato Lojistik Dýþ Ticaret ve E Ticaret Hizmetleri A.Þ.,"programming, insurance, oauth, engineering, management, scrum, agile development, automotive, redis, design, reviews, debugging, sql, ecommerce",https://www.kariyer.net//is-ilani/arvato-lojistik-dis-ticaret-ve-e-ticaret-hizmetler-dms-software-developer-3457662,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/yeni.jpg.jpg
Yazýlým Uzmaný,RD GLOBAL,"javascript, html5, laravel, git, erp, ajax, mvc, php, xml, mysql, linux, css",https://www.kariyer.net//is-ilani/rd-global-yazilim-uzmani-2970392,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/b3qsuq3u.i00.jpg
Yazýlým Uzmaný (Engelli),TEB - Türk Ekonomi Bankasý,"javascript, html5, java, python, swift, linux, css, sql",https://www.kariyer.net//is-ilani/teb-turk-ekonomi-bankasi-yazilim-uzmani-engelli-2941084,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/1126_251147.jpg
Yazýlým Uzmaný (.Net),KAYAPORT TEKNOLOJÝ HÝZM. SAN. VE TÝC. A.Þ.,"mvc, git, xml, web services, linq, json, sql",https://www.kariyer.net//is-ilani/kayaport-teknoloji-hizm-san-ve-tic-a-s-yazilim-uzmani-net-3489856,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/158474_215212.jpg
Yazýlým Uzmaný,Tatmetal,"javascript, html5, sql, bootstrap",https://www.kariyer.net//is-ilani/tatmetal-yazilim-uzmani-3399288,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/49678_217304.jpg
ERP Yazýlým Uzmaný,Horoz Lojistik Kargo Hizmetleri ve Tic. A.Þ.,oracle,https://www.kariyer.net//is-ilani/horoz-lojistik-kargo-hizmetleri-ve-tic-a-s-erp-yazilim-uzmani-3396681,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/horoz_3.gif
Yazýlým Uzmaný,Petlas Lastik Sanayi ve Ticaret A.Þ.,"javascript, html5, oracle, ajax, mvc, xml, json, css",https://www.kariyer.net//is-ilani/petlas-lastik-sanayi-ve-ticaret-a-s-yazilim-uzmani-3331523,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/aozcan_logo.gif
Hbys Firmamýz Ýçin Yazýlým Uzmaný,Ark Biliþim Medikal Sanayi Ve Ticaret Limited Þirketi,"javascript, css, ajax, mvc, wpf, xml, oracle, sql",https://www.kariyer.net//is-ilani/ark-bilisim-medikal-sanayi-ve-ticaret-limited-sirk-hbys-firmamiz-icin-yazilim-uzmani-3474317,
Yazýlým Uzmaný (Node.Js),Colin's,"git, sql, typescript",https://www.kariyer.net//is-ilani/colin-s-yazilim-uzmani-node-js-2619552,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/eroglu_3.gif
